path,status,duration_seconds,sample_rate_hz,channels,mean_volume_db,max_volume_db,warnings,sha256
outputs/listen-audio/qwen3-tts/mystic_rival/voice-master.wav,PASS,8.34375,24000,1,-18.0,-1.5,contains_silence_over_0.8s,259ec7f40b412a5a9e8fda54b255324c14b589af76b521355c25dbd6a894d0c9
outputs/listen-audio/qwen3-tts/sleepy_cat/mixed_language.wav,PASS,6.644167,24000,1,-18.2,-4.0,,7e15edce3d4eddbf59d3dbc02a3c33579f3f1189aa1acb6b46b44fcc1ccfeaec
outputs/listen-audio/qwen3-tts/sleepy_cat/showcase.wav,PASS,9.632417,24000,1,-18.3,-3.0,contains_silence_over_0.8s,d4cc5cc56d2124f2c3694d8345d35160e9bcf048d646f2932151a3681b0e1f53
outputs/listen-audio/qwen3-tts/sleepy_cat/voice-master.wav,PASS,11.03325,24000,1,-19.4,-1.6,,eb60c9e9be48dd9524406be120a39be77412f66f6cf680869743c2bd3f1aa6a2
outputs/listen-audio/qwen3-tts/soft_healer/mixed_language.wav,PASS,7.748333,24000,1,-17.1,-3.7,,cdbafb9114cf266bf63b2e5299df6146c1f250e823c39040ff73fcf49e0c2126
outputs/listen-audio/qwen3-tts/soft_healer/showcase.wav,PASS,9.3805,24000,1,-17.9,-5.0,,88086f4a72fd81dbd9c1470f0ae45202e04faf3f6dba1c563984e0c6b3f9b3a1
outputs/listen-audio/qwen3-tts/soft_healer/voice-master.wav,PASS,9.623708,24000,1,-18.3,-3.0,contains_silence_over_0.8s,f1157c5c6fc0a26d840b9d1d0c0db9dd26b0145a97bec004eea8a0166d75c932
outputs/listen-audio/qwen3-tts/tsundere_comic/mixed_language.wav,PASS,6.651708,24000,1,-17.9,-3.7,,28258fd07ccb35307fc8791b015b4b23413c59ed0f0757b15f93eefcd6009c67
outputs/listen-audio/qwen3-tts/tsundere_comic/showcase.wav,PASS,8.172875,24000,1,-17.7,-3.2,,88c8a8fa496c9ae32d0e6a05296db6914ccb3937a683c685fc339446dccbf375
outputs/listen-audio/qwen3-tts/tsundere_comic/voice-master.wav,PASS,7.3535,24000,1,-18.3,-3.9,,121b9cdada88087f702ff61b49e7bf11457532b47d02812aea36ed75c7b58fba
outputs/qwen3-tts/airy_spirit/raw/mixed_language.wav,PASS,8.045792,24000,1,-21.9,-8.6,,2aa100e7f242f661283a0948d2bc670be30d7636b748ac7e3ab79425f466eb50
outputs/qwen3-tts/airy_spirit/raw/showcase.wav,PASS,10.56,24000,1,-21.8,-8.0,,19516b95ca253284c1828e822a8c775f7b19733e0474be137f99125205cf496b
outputs/qwen3-tts/airy_spirit/raw/voice-master.wav,PASS,10.8,24000,1,-21.8,-7.1,contains_silence_over_0.8s,c53225892d5ed8095c7842ca720d220aa2666e2f217228af9698d06a1ba4023e
outputs/qwen3-tts/airy_spirit/ready/mixed_language.wav,PASS,8.045792,24000,1,-21.9,-8.6,,2aa100e7f242f661283a0948d2bc670be30d7636b748ac7e3ab79425f466eb50
outputs/qwen3-tts/airy_spirit/ready/showcase.wav,PASS,10.2,24000,1,-21.7,-8.0,,5527f877625325f0ab9a841b88416a7652c2bae5164a65bd0dc7981abe3c4da0
outputs/qwen3-tts/airy_spirit/ready/voice-master.wav,PASS,10.8,24000,1,-21.8,-7.1,contains_silence_over_0.8s,c53225892d5ed8095c7842ca720d220aa2666e2f217228af9698d06a1ba4023e
